[2023-01-23 20:02:18,792] 	INFO 	36 	training.py 	get_pipeline_config() 	Pipeline configuration: PipelineConfig(pipeline_name='amazon_reviews', artifact_dir='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact')
[2023-01-23 20:02:18,795] 	INFO 	41 	metadata_entity.py 	get_metadata_info() 	{'data_file_path': 'D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\feature_store\\amazon_reviews'}
[2023-01-23 20:02:18,795] 	INFO 	75 	training.py 	get_data_ingestion_config() 	Data ingestion config: DataIngestionConfig(data_ingestion_dir='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104', download_dir='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\downloaded_files', file_name='amazon_reviews', feature_store_dir='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\feature_store', failed_dir='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\failed_downloaded_files', metadata_file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\meta_info.yaml', datasource_url='https://datasets-server.huggingface.co/first-rows?dataset=amazon_us_reviews&config=Apparel_v1_00&split=train')
[2023-01-23 20:02:18,796] 	INFO 	34 	data_ingestion.py 	__init__() 	>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Starting data ingestion.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
[2023-01-23 20:02:18,797] 	INFO 	212 	data_ingestion.py 	initiate_data_ingestion() 	Started downloading json file
[2023-01-23 20:02:18,797] 	INFO 	75 	data_ingestion.py 	download_files() 	Started downloading files
[2023-01-23 20:02:18,797] 	INFO 	164 	data_ingestion.py 	download_data() 	Starting download operation: DownloadUrl(url='https://datasets-server.huggingface.co/first-rows?dataset=amazon_us_reviews&config=Apparel_v1_00&split=train', file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\downloaded_files\\test.json', n_retry=5)
[2023-01-23 20:02:25,643] 	INFO 	174 	data_ingestion.py 	download_data() 	Started writing downloaded data into json file: D:\MLProjectNeuron\dataTrials\aws_review_artifact\data_ingestion\20230123_200104\downloaded_files\test.json
[2023-01-23 20:02:25,647] 	INFO 	185 	data_ingestion.py 	download_data() 	Failed to download hence retry again.
[2023-01-23 20:02:28,667] 	INFO 	164 	data_ingestion.py 	download_data() 	Starting download operation: DownloadUrl(url='https://datasets-server.huggingface.co/first-rows?dataset=amazon_us_reviews&config=Apparel_v1_00&split=train', file_path='D:\\MLProjectNeuron\\dataTrials\\aws_review_artifact\\data_ingestion\\20230123_200104\\downloaded_files\\test.json', n_retry=4)
[2023-01-23 20:02:29,841] 	INFO 	174 	data_ingestion.py 	download_data() 	Started writing downloaded data into json file: D:\MLProjectNeuron\dataTrials\aws_review_artifact\data_ingestion\20230123_200104\downloaded_files\test.json
